CODIGO,NIVEL_DE_DESAGREGACION,PONDERACION
000000,ÍNDICE GENERAL,100.000
010000,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,22.967
011000,ALIMENTOS,21.046
011100,PAN Y CEREALES,4.231
011101,ARROZ DE TODAS CLASES,1.210
011102,CEREALES EN GRANO,0.182
011103,HARINA FINA Y HARINA GRUESA,0.096
011104,CEREALES EN HOJUELA,0.184
011105,PRODUCTOS DE PANADERÍA Y PASTELERÍA,2.134
011106,PASTAS,0.322
011107,ALIMENTOS PROCESADOS E INSUFLADOS (POPEADOS),0.103
011200,CARNE,5.227
011201,CARNE DE RES FRESCA REFRIGERADA Y CONGELADA,1.346
011202,CARNE DE AVE FRESCA REFRIGERADA Y CONGELADA,3.070
011203,MENUDENCIA FRESCA REFRIGERADA Y CONGELADA,0.320
011204,EMBUTIDO Y CARNE SECA,0.354
011205,PREPARADOS Y PRODUCTOS CÁRNICOS,0.137
011300,PESCADOS Y MARISCOS,1.089
011301,PESCADO FRESCO REFRIGERADO O CONGELADO,0.714
011302,MARISCOS,0.022
011304,PESCADOS Y ALIMENTOS MARINOS CONSERVADOS O PROCESADOS,0.354
011400,LECHE QUESO Y HUEVOS,2.848
011401,LECHE,1.303
011402,YOGUR CREMA Y DERIVADOS LÁCTEOS,0.316
011403,QUESOS,0.523
011404,HUEVOS,0.706
011500,ACEITES Y GRASAS,0.535
011501,ACEITES COMESTIBLES,0.384
011502,GRASAS COMESTIBLES,0.151
011600,FRUTAS,2.500
011601,FRUTAS FRESCAS,2.425
011602,FRUTAS DESECADAS Y FRUTOS SECOS,0.075
011700,HORTALIZAS LEGUMBRES INCLUYE PAPAS Y OTROS TUBÉRCULOS,2.869
011701,HORTALIZAS FRESCAS DE HOJAS O TALLO,0.210
011702,HORTALIZAS CULTIVADAS POR SU FRUTO,0.680
011703,HORTALIZAS DE RAÍZ O BULBO Y HONGOS,0.619
011704,LEGUMBRES Y HORTALIZAS SECAS Y PREPARADOS,0.296
011705,VERDURAS Y LEGUMBRES PROCESADAS,0.095
011706,TUBÉRCULOS RAÍCES,0.936
