# Fuente: Qhawarina (qhawarina.pe) | CC BY 4.0 | Generado: 2026-07-09
date,fx,spot_net_purchases,swaps_net,total_intervention,reference_rate,bond_sol_10y,bond_usd_10y,bvl
2024-07-10,3.7803,0.0,0.0,0.0,5.57,6.98,5.75,30205.0
2024-07-11,3.7668,0.0,0.0,0.0,5.44,6.9,5.75,30295.0
2024-07-12,3.7323,0.0,0.0,0.0,5.42,6.86,5.75,30133.0
2024-07-15,3.7282,0.0,0.0,0.0,5.48,6.89,5.75,30064.0
2024-07-16,3.7163,0.0,0.0,0.0,5.44,6.89,5.75,29864.0
2024-07-17,3.7215,0.0,0.0,0.0,5.44,6.88,5.75,29826.0
2024-07-18,3.7365,0.0,0.0,0.0,5.5,6.91,5.75,29593.0
2024-07-19,3.7452,0.0,0.0,0.0,5.56,6.96,5.75,29667.0
2024-07-22,3.7552,0.0,0.0,0.0,5.55,6.95,5.75,29697.0
2024-07-23,3.7552,,,0.0,5.55,6.95,5.75,29697.0
2024-07-24,3.7755,0.0,0.0,0.0,5.57,6.98,5.75,29462.0
2024-07-25,3.7608,0.0,0.0,0.0,5.53,6.96,5.75,29539.0
2024-07-26,3.7608,,,0.0,5.53,6.96,5.75,29539.0
2024-07-29,3.7608,,,0.0,5.53,6.96,5.75,29539.0
2024-07-30,3.7348,0.0,0.0,0.0,5.45,6.93,5.75,29367.0
2024-07-31,3.7195,0.0,0.0,0.0,5.39,6.9,5.75,29537.0
2024-08-01,3.738,0.0,0.0,0.0,5.4,6.79,5.75,29038.0
2024-08-02,3.7432,0.0,0.0,0.0,5.3,6.69,5.75,28519.0
2024-08-05,3.7458,0.0,0.0,0.0,5.35,6.73,5.75,27989.0
2024-08-06,3.7458,,,0.0,5.35,6.73,5.75,27989.0
2024-08-07,3.7342,0.0,0.0,0.0,5.37,6.7,5.75,28239.0
2024-08-08,3.7295,0.0,0.0,0.0,5.39,6.62,5.75,28536.0
2024-08-09,3.7307,0.0,0.0,0.0,5.3,6.55,5.5,28633.0
2024-08-12,3.7443,0.0,0.0,0.0,5.3,6.55,5.5,28616.0
2024-08-13,3.7477,0.0,0.0,0.0,5.3,6.55,5.5,28459.0
2024-08-14,3.7382,0.0,0.0,0.0,5.3,6.55,5.5,28540.0
2024-08-15,3.7372,0.0,0.0,0.0,5.3,6.55,5.5,28953.0
2024-08-16,3.7425,0.0,0.0,0.0,5.13,6.55,5.5,28657.0
2024-08-19,3.7348,0.0,0.0,0.0,5.11,6.53,5.5,28690.0
2024-08-20,3.7465,0.0,0.0,0.0,5.04,6.53,5.5,28548.0
2024-08-21,3.7443,0.0,0.0,0.0,5.01,6.55,5.5,28483.0
2024-08-22,3.759,0.0,0.0,0.0,5.09,6.59,5.5,28371.0
2024-08-23,3.746,0.0,0.0,0.0,5.03,6.53,5.5,28429.0
2024-08-26,3.752,0.0,0.0,0.0,5.02,6.54,5.5,28387.0
2024-08-27,3.7433,0.0,0.0,0.0,5.04,6.56,5.5,28246.0
2024-08-28,3.7393,0.0,0.0,0.0,5.06,6.55,5.5,28320.0
2024-08-29,3.7477,0.0,0.0,0.0,5.09,6.54,5.5,28442.0
2024-08-30,3.7477,,,0.0,5.09,6.54,5.5,28442.0
2024-09-02,3.765,0.0,0.0,0.0,5.09,6.55,5.5,28721.0
2024-09-03,3.7837,0.0,0.0,0.0,5.15,6.55,5.5,28082.0
2024-09-04,3.7967,0.0,0.0,0.0,5.12,6.53,5.5,28026.0
2024-09-05,3.7948,0.0,0.0,0.0,5.09,6.52,5.5,28304.0
2024-09-06,3.7967,0.0,0.0,0.0,5.08,6.48,5.5,28065.0
2024-09-09,3.8118,0.0,0.0,0.0,5.06,6.43,5.5,28283.0
2024-09-10,3.8185,0.0,0.0,0.0,5.04,6.44,5.5,28007.0
2024-09-11,3.788,0.0,0.0,0.0,5.02,6.4,5.5,28191.0
2024-09-12,3.7688,0.0,0.0,0.0,5.03,6.42,5.5,28540.0
2024-09-13,3.7695,0.0,0.0,0.0,4.99,6.39,5.25,28951.0
2024-09-16,3.7837,0.0,0.0,0.0,4.92,6.33,5.25,28869.0
2024-09-17,3.7735,0.0,0.0,0.0,4.93,6.29,5.25,28697.0
2024-09-18,3.7588,0.0,0.0,0.0,4.95,6.25,5.25,29094.0
2024-09-19,3.7478,0.0,0.0,0.0,4.93,6.22,5.25,29214.0
2024-09-20,3.7518,0.0,0.0,0.0,5.0,6.229,5.25,29307.0
2024-09-23,3.7702,0.0,0.0,0.0,5.03,6.25,5.25,29357.0
2024-09-24,3.7642,0.0,0.0,0.0,5.02,6.28,5.25,29808.0
2024-09-25,3.7623,0.0,0.0,0.0,5.02,6.29,5.25,29612.0
2024-09-26,3.7308,0.0,0.0,0.0,5.01,6.29,5.25,30160.0
2024-09-27,3.7155,0.0,0.0,0.0,4.98,6.24,5.25,30282.0
2024-09-30,3.7082,0.0,0.0,0.0,4.98,6.22,5.25,29942.0
2024-10-01,3.7182,0.0,0.0,0.0,4.95,6.22,5.25,30131.0
2024-10-02,3.718,0.0,0.0,0.0,4.97,6.28,5.25,30157.0
2024-10-03,3.7287,0.0,0.0,0.0,5.03,6.39,5.25,30052.0
2024-10-04,3.7323,0.0,0.0,0.0,5.17,6.43,5.25,30329.0
2024-10-07,3.7408,0.0,0.0,0.0,5.27,6.5,5.25,30246.0
2024-10-08,3.7408,,,0.0,5.27,6.5,5.25,30246.0
